service_rte_num,weekday,week_rel,yrly_rel
10,weekend,111.2940515095261,94.0990955809524
330,weekday,114.00188293336385,114.00188293336385
148,weekend,114.12434880259002,134.89494498609383
322,weekday,114.17295138201715,114.17295138201715
65,weekend,114.55922713744692,146.09509504001304
245,weekday,114.68638089613306,125.9796148525647
13,weekday,114.8651477618131,124.49204664312359
225,weekend,115.18606131325672,141.13054990535448
60,weekday,116.14817498212248,147.3744092510364
118,weekend,116.23290735731076,128.9052046997115
79,weekday,116.85095783230058,116.85095783230058
675,weekday,117.62855148880163,133.22949155826453
550,weekend,118.28590988260495,121.78506213647259
184,weekday,118.91537702736906,100.87560365305234
678,weekday,119.26108312415683,140.81516183984147
48,weekend,119.75599849862377,111.02362479052329
119,weekday,119.76982258544324,119.76982258544324
67,weekend,119.9074291398763,150.6857797716686
165,weekend,120.08697515163998,133.47328637630946
320,weekday,121.20037783773411,121.20037783773411
36,weekend,123.21976300307794,116.09643802530894
671,weekday,123.4866608109462,103.73132976450155
3,weekend,123.56480586636448,106.3341581579494
550,weekday,125.04289354524592,121.78506213647259
345,weekend,125.925500403483,104.76870446153026
246,weekday,126.58889870715389,126.58889870715389
250,weekday,126.6086539798198,139.0135287028753
303,weekday,127.46554470815387,127.46554470815387
181,weekend,127.51844097337882,118.21752055221154
75,weekend,130.07615481956944,119.08089414901885
216,weekday,130.49138857081954,130.49138857081954
372,weekend,131.42054632828822,92.71373059359377
240,weekend,131.77115126522733,117.59481435072844
5,weekday,132.73257081620847,197.03607063529094
268,weekday,133.67944123408003,133.67944123408003
27,weekday,133.6942234115533,172.8853174685534
44,weekday,134.1973450834184,138.7961900338199
22,weekday,134.43362731420257,134.43362731420257
13,weekend,134.83204914527187,124.49204664312359
45,weekday,135.05272672481453,144.08327435630687
50,weekend,135.274534709603,101.76755475754814
226,weekday,136.27323959624914,156.54746264320679
70,weekend,136.38081523171462,123.32896961934473
4,weekday,136.75359592840863,152.32166350844992
245,weekend,138.1093846576209,125.9796148525647
21,weekday,139.53569463037977,188.9221221119185
40,weekday,139.55799936971465,157.72087917877766
2,weekend,139.61582176781445,121.62097702422574
118,weekday,140.703550501257,128.9052046997115
1,weekday,141.29699486200263,180.15584450629106
125,weekday,142.42243881674585,154.2434997670944
241,weekday,143.07666538643477,153.49041669173388
674,weekend,143.22960967726087,120.72603195885938
231,weekday,143.2404562466059,120.37026744732032
331,weekend,143.24499541234968,112.72730883784159
44,weekend,143.7356901657326,138.7961900338199
