stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
36750,Seattle,N,SEA,YES,48,1,NA,NA,23rd Ave S & S Massachusetts St
36752,Seattle,N,SEA,YES,8,1,NA,NA,Martin L King Jr Way S & S Walker St
38240,Seattle,S,SEA,YES,372E,1,NA,NA,Ravenna Ave NE & NE 92nd St
9976,Seattle,S,SEA,YES,75,0,NA,NA,Sand Point Way NE & NE 50th St
9980,Seattle,W,SEA,YES,79,0,NA,NA,NE 55th St & Princeton Ave NE
9990,Seattle,W,SEA,YES,79,0,NA,NA,NE 55th St & 45th Ave NE
10005,Seattle,S,SEA,YES,65,0,NA,NA,40th Ave NE & NE 51st St
10010,Seattle,W,SEA,YES,65 79,0,NA,NA,NE 55th St & 39th Ave NE
10020,Seattle,W,SEA,YES,65 79,0,NA,NA,NE 55th St & 37th Ave NE
565,Metro King County,N,SEA,YES,599N,0,NA,NA,Symphony Station & Transit Tunnel AcRd
38260,Seattle,S,SEA,YES,372E,0,NA,NA,Ravenna Ave NE & NE 86th St
39810,Seattle,S,SEA,YES,22,0,NA,NA,California Ave SW & SW Myrtle St
39820,Seattle,S,SEA,YES,22,0,NA,NA,California Ave SW & SW Othello St
39830,Seattle,S,SEA,YES,22,0,NA,NA,California Ave SW & SW Webster St
39840,Seattle,E,SEA,YES,22,0,NA,NA,SW Ida St & California Ave SW
39850,Seattle,E,SEA,YES,22,0,NA,NA,SW Ida St & 41st Ave SW
39860,Seattle,S,SEA,YES,22,0,NA,NA,41st Ave SW & SW Portland St
19810,Seattle,N,SEA,YES,128 22 773,0,NA,NA,California Ave SW & SW Raymond St
21720,Seattle,N,SEA,YES,124,0,NA,NA,Airport Way S & S College St
21730,Seattle,N,SEA,YES,124,0,NA,NA,Airport Way S & S Hill St
23060,Seattle,S,SEA,YES,21 21E,0,NA,NA,35th Ave SW & SW Henderson St
23070,Seattle,S,SEA,YES,21E,1,NA,NA,35th Ave SW & SW Barton St
23080,Seattle,S,SEA,YES,21E,0,NA,NA,35th Ave SW & SW Cambridge St
23180,Seattle,S,SEA,YES,75,0,NA,NA,5th Ave NE & NE 120th St
25070,Seattle,S,SEA,YES,65,0,NA,NA,35th Ave NE & NE 75th St
25090,Seattle,S,SEA,YES,65,1,NA,NA,35th Ave NE & NE 70th St
25100,Seattle,S,SEA,YES,65,1,NA,NA,35th Ave NE & NE 68th St
25130,Seattle,S,SEA,YES,65,1,NA,NA,35th Ave NE & NE 60th St
25140,Seattle,S,SEA,YES,65,0,NA,NA,35th Ave NE & NE 55th St
26690,Seattle,N,SEA,YES,40 98N C,0,NA,NA,Westlake Ave & 9th Ave
26693,Seattle,N,SEA,YES,98,0,NA,NA,Terry Ave N & Thomas St
26698,Seattle,N,SEA,YES,98,0,NA,NA,Terry Ave N & Republican St
26700,Seattle,S,SEA,YES,98,0,NA,NA,Fairview Ave N & Ward St
26701,Seattle,E,SEA,YES,98,0,NA,NA,SLU Streetcar Rail & Terry Ave N
26702,Seattle,W,SEA,YES,98,0,NA,NA,SLU Streetcar Rail & Terry Ave N
455,Metro King County,S,SEA,YES,599,0,NA,NA,Symphony Station & Transit Tunnel AcRd
468,Seattle,S,SEA,YES,124 125 131 132 21 21E 24N 27 33N 56 57 C DN EN H,0,NA,NA,3rd Ave & Seneca St
26705,Seattle,N,SEA,YES,98,0,NA,NA,Fairview Ave N & Aloha St
28416,Seattle,W,SEA,YES,40,1,NA,NA,NW Leary Way & 11th Ave NW
28425,Seattle,N,SEA,YES,28E,0,NA,NA,8th Ave NW & NW 45th St
28450,Seattle,N,SEA,YES,28E,0,NA,NA,8th Ave NW & NW 50th St
28490,Seattle,N,SEA,YES,28E,0,NA,NA,8th Ave NW & NW 60th St
480,Seattle,S,SEA,YES,13N 14 17EN 1N 2N 3 36 4 40N 49N 62N 7 70N,0,NA,NA,3rd Ave & Marion St
490,Seattle,S,SEA,YES,124 131 132 21 24N 27 33N DN EN,3,NA,NA,3rd Ave & Cherry St
